,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,carnarvon,-30.97,22.13,66.69,77,100,12.06,ZA,1578434126
1,pozoblanco,38.38,-4.85,41.0,93,0,1.12,ES,1578434469
2,bathsheba,13.22,-59.52,80.6,65,40,14.99,BB,1578434156
3,rikitea,-23.12,-134.97,77.29,79,0,18.25,PF,1578433980
4,narsaq,60.91,-46.05,10.4,72,59,9.15,GL,1578434151
5,rawson,-43.3,-65.11,74.1,38,26,11.63,AR,1578434470
6,los llanos de aridane,28.66,-17.92,64.4,63,75,8.05,ES,1578433844
7,ushuaia,-54.81,-68.31,51.8,81,75,9.17,AR,1578434107
8,broken hill,-31.97,141.45,75.2,23,0,10.29,AU,1578434152
9,saint anthony,43.97,-111.68,35.6,80,1,6.93,US,1578434470
10,albany,42.65,-73.75,36.0,63,90,3.24,US,1578433992
11,butaritari,3.07,172.79,84.85,77,67,17.45,KI,1578434119
12,barrow,-38.31,-60.23,82.62,25,0,3.76,AR,1578434127
13,cape town,-33.93,18.42,70.0,94,20,8.05,ZA,1578434114
14,bredasdorp,-34.53,20.04,68.0,88,0,3.36,ZA,1578434117
15,meulaboh,4.14,96.13,80.91,78,97,7.76,ID,1578433843
16,aripuana,-9.17,-60.63,89.26,63,18,2.01,BR,1578434471
17,lagoa,37.14,-8.45,54.0,93,0,3.36,PT,1578434149
18,maceio,-9.67,-35.74,80.6,74,40,14.99,BR,1578434471
19,yaan,7.38,8.57,82.36,24,100,3.36,NG,1578434471
20,hithadhoo,-0.6,73.08,83.48,75,96,12.53,MV,1578434110
21,qaanaaq,77.48,-69.36,-24.79,91,29,1.99,GL,1578434116
22,turmalina,-17.29,-42.73,73.8,93,99,2.71,BR,1578434472
23,provideniya,64.42,-173.23,-12.57,93,0,1.21,RU,1578434110
24,vilhena,-12.74,-60.15,77.0,88,40,5.82,BR,1578434129
25,kodiak,39.95,-94.76,53.01,37,1,23.04,US,1578434146
26,ventspils,57.39,21.56,41.0,80,90,18.34,LV,1578434472
27,balezino,57.97,53.01,9.41,97,98,3.58,RU,1578434120
28,qasigiannguit,68.82,-51.19,-2.2,44,20,13.87,GL,1578434472
29,port hawkesbury,45.62,-61.36,30.0,86,40,5.82,CA,1578434472
30,poum,41.28,20.71,26.38,38,0,4.41,MK,1578434136
31,pointe michel,15.25,-61.38,82.4,61,20,6.93,DM,1578434472
32,nikolskoye,59.7,30.79,39.2,80,90,8.95,RU,1578434122
33,port alfred,-33.59,26.89,68.0,98,100,1.01,ZA,1578434111
34,tessalit,20.2,1.01,61.41,21,55,9.86,ML,1578434473
35,kolosovka,56.47,73.61,2.53,94,88,3.22,RU,1578434473
36,vaini,15.34,74.49,65.88,79,0,1.43,IN,1578434113
37,el cobre,8.04,-72.06,86.0,51,40,16.11,VE,1578434473
38,fortuna,40.6,-124.16,53.6,76,90,10.29,US,1578434115
39,puerto ayora,-0.74,-90.35,82.4,69,40,9.17,EC,1578434122
40,lompoc,34.64,-120.46,72.0,32,1,5.82,US,1578434138
41,chuy,-33.69,-53.46,73.89,47,0,12.66,UY,1578433994
42,tangkak,2.27,102.54,78.8,83,20,3.36,MY,1578434474
43,saint george,39.45,22.34,37.99,59,20,8.05,GR,1578434142
44,cherskiy,68.75,161.3,-19.43,76,0,9.06,RU,1578434132
45,sompeta,18.93,84.6,61.66,75,2,3.04,IN,1578434474
46,vardo,39.62,-77.74,33.8,99,90,9.17,US,1578434145
47,kavaratti,10.57,72.64,81.99,74,59,10.27,IN,1578434109
48,zverinogolovskoye,54.46,64.85,10.92,96,98,2.82,RU,1578434474
49,atuona,-9.8,-139.03,81.09,74,1,12.12,PF,1578433818
50,hobart,-42.88,147.33,68.0,67,20,6.93,AU,1578434093
51,buriti alegre,-18.14,-49.04,78.35,88,86,3.67,BR,1578434475
52,jamestown,-33.21,138.6,71.2,30,0,13.94,AU,1578434107
53,hermanus,-34.42,19.24,69.01,92,0,9.53,ZA,1578434114
54,buta,2.79,24.73,73.62,42,46,1.77,CD,1578434475
55,bluff,-23.58,149.07,72.39,84,57,9.13,AU,1578434113
56,thompson,55.74,-97.86,-11.2,76,20,6.93,CA,1578434108
57,havoysund,71.0,24.66,37.4,79,40,21.92,NO,1578434475
58,dunedin,-45.87,170.5,51.19,70,56,13.27,NZ,1578434153
59,bol,13.47,14.72,72.7,26,0,16.15,TD,1578434475
60,cabo san lucas,22.89,-109.91,82.0,57,5,10.29,MX,1578434136
61,isangel,-19.55,169.27,82.4,69,20,6.93,VU,1578434116
62,half moon bay,37.46,-122.43,59.0,76,20,16.11,US,1578434114
63,punta arenas,-53.16,-70.91,59.0,38,85,17.22,CL,1578434108
64,juba,57.82,26.93,37.99,93,90,11.41,EE,1578434476
65,torbay,47.66,-52.73,27.0,92,90,4.7,CA,1578434126
66,nadym,65.53,72.51,-2.06,94,0,10.13,RU,1578434476
67,tasiilaq,65.61,-37.64,8.82,75,100,28.14,GL,1578434112
68,busselton,-33.64,115.35,61.0,60,26,4.45,AU,1578433813
69,hasaki,35.73,140.83,41.0,100,75,2.24,JP,1578434153
70,khatanga,71.98,102.47,5.65,96,96,7.9,RU,1578434108
71,georgetown,6.8,-58.16,84.2,83,40,9.17,GY,1578434067
72,cuajinicuilapa,16.47,-98.41,90.54,47,0,9.75,MX,1578434477
73,kedougou,12.56,-12.19,77.0,27,20,4.7,SN,1578434477
74,morondava,-20.3,44.28,76.64,93,1,3.65,MG,1578434477
75,podor,16.65,-14.96,69.8,19,77,2.24,MR,1578434477
76,lorengau,-2.02,147.27,83.55,75,100,4.65,PG,1578434120
77,avarua,-21.21,-159.78,82.4,78,36,9.17,CK,1578434113
78,santa vitoria do palmar,-33.52,-53.37,73.89,47,0,12.66,BR,1578433834
79,taltal,-25.41,-70.49,68.27,67,0,6.51,CL,1578434174
80,nova odesa,47.3,31.79,26.35,71,0,10.04,UA,1578434478
81,pyu,18.48,96.43,62.65,82,0,5.99,MM,1578434478
82,simao,22.76,100.79,52.43,96,0,2.71,CN,1578434478
83,arraial do cabo,-22.97,-42.02,84.2,78,20,11.41,BR,1578434109
